City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,selfoss,63.9331,-20.9971,1.69,80,99,1.78,IS,1698027216
347,shingu,33.7333,135.9833,20.42,48,56,1.32,JP,1698027216
348,suomussalmi,64.8869,28.9078,-4.28,85,88,1.64,FI,1698027217
349,galveston,29.3669,-94.9669,24.95,85,75,7.2,US,1698027217
350,dondo,-19.6094,34.7431,24.83,94,72,3.8,MZ,1698027218
351,celestun,20.8667,-90.4,25.99,76,99,7.07,MX,1698027218
352,kingston,17.997,-76.7936,27.75,82,20,1.54,JM,1698027219
353,perry,37.2506,-83.1999,10.4,80,0,0.8,US,1698027219
354,mersa matruh,31.3525,27.2453,22.09,73,3,3.14,EG,1698027219
355,vico del gargano,41.8983,15.9576,16.91,68,21,1.96,IT,1698026977
356,astrakhan,46.3497,48.0408,0.93,93,0,2.0,RU,1698027219
357,gaiman,-43.2897,-65.4929,11.33,62,100,4.52,AR,1698027220
358,kourou,5.1552,-52.6478,29.03,86,87,4.62,GF,1698027220
359,magistral'nyy,56.1725,107.4458,1.65,65,21,3.11,RU,1698027221
360,vilyuchinsk,52.9306,158.4028,8.15,77,88,3.33,RU,1698026890
